property,licensedPropertyID,optionSourceID,character,characterID,brandPropertyID
"Captain America Movie - No Likeness","612","1007","Kruger, Lt. Heinz ( Captain America Movie )","1159152543","518032609"
"Captain America Movie - No Likeness","612","1007","Mercer, Glenn ( Captain America Movie )","1159152544","518032609"
"Captain America Movie - No Likeness","612","1007","Morita, Jim ( Captain America Movie )","1159152545","518032609"
"Captain America Movie - No Likeness","612","1007","Nick Fury ( Captain America Movie )","1159152569","518032609"
"Captain America Movie - No Likeness","612","1007","Red Skull ( Captain America Movie )","518033002","518032609"
"Captain America Movie - No Likeness","612","1007","Rogers, Steve ( Captain America Movie )","1159152570","518032609"
"Captain America Movie - No Likeness","612","1007","Schmidt, Johann ( Captain America Movie )","1159152571","518032609"
"Captain America Movie - No Likeness","612","1007","Senator Brandt ( Captain America Movie )","1159152580","518032609"
"Captain America Movie - No Likeness","612","1007","Stark, Howard ( Captain America Movie )","1159152581","518032609"
"Captain America Movie - No Likeness","612","1007","The Invaders ( Captain America Movie )","1159152572","518032609"
